type,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
Control,23,45,4-Very,Small (5-99),Paying vendors,Closed,270,3.5,2,Ottawa
Control,46,41,5-Extremely,Small (5-99),Business taxes,Closed,74,3.4,2,Thunder Bay
Control,30,49,4-Very,Small (5-99),Rent,Closed,237,3.9,2,Toronto
Control,48,50,1-Not at all,Small (5-99),Insurance,Closed,83,3.7,2,Toronto
Control,47,48,5-Extremely,Micro (1-4),Payroll,Closed,188,3,3,London
Control,30,40,4-Very,Small (5-99),Rent,Closed,291,4,2,Hamilton
Control,47,53,4-Very,Micro (1-4),Business taxes,Closed,55,4.2,1,Toronto
Control,33,46,2-Slightly,Micro (1-4),Payroll,Closed,281,4.2,2,Toronto
Control,30,54,4-Very,Micro (1-4),Business taxes,Closed,141,3,2,London
Control,25,34,3-Moderately,Small (5-99),Paying vendors,Closed,441,4,2,Toronto
Control,40,35,4-Very,Small (5-99),Payroll,Closed,495,3.3,2,Ottawa
Control,30,45,5-Extremely,Medium (100-499),Paying vendors,Closed,88,4,3,Thunder Bay
Control,35,47,4-Very,Micro (1-4),Payroll,Closed,207,3.1,2,Toronto
Control,24,44,3-Moderately,Small (5-99),Rent,Closed,416,3.3,2,Toronto
Control,28,38,5-Extremely,Small (5-99),Rent,Closed,298,3.6,2,Toronto
Control,36,46,4-Very,Micro (1-4),Rent,Closed,13,3.7,1,Toronto
Control,34,44,3-Moderately,Small (5-99),Paying vendors,Closed,28,3.5,2,Toronto
Control,33,42,5-Extremely,Small (5-99),Paying vendors,Closed,408,3.8,3,Toronto
Control,50,50,4-Very,Small (5-99),Payroll,New,294,3.9,3,Toronto
Control,33,41,5-Extremely,Small (5-99),Business taxes,Closed,475,3,2,Hamilton
Control,34,42,4-Very,Micro (1-4),Payroll,Closed,53,4.3,2,Toronto
Control,34,40,5-Extremely,Small (5-99),Paying vendors,Closed,14,3.7,2,Toronto
Control,28,42,4-Very,Micro (1-4),Rent,Closed,158,3.8,2,London
Control,38,45,4-Very,Small (5-99),Insurance,Closed,99,3,2,Ottawa
Control,33,40,5-Extremely,Small (5-99),Rent,Closed,126,3.4,2,Toronto
Control,30,47,4-Very,Small (5-99),Insurance,Closed,91,2.9,1,Toronto
Control,45,47,4-Very,Small (5-99),Rent,Closed,369,4.4,3,Ottawa
Control,35,52,4-Very,Small (5-99),Insurance,Closed,335,3.7,2,Toronto
Control,39,45,5-Extremely,Small (5-99),Paying vendors,Closed,9,3.5,2,London
Control,52,54,5-Extremely,Medium (100-499),Rent,Closed,464,2.7,3,Thunder Bay
Control,34,38,5-Extremely,Small (5-99),Insurance,Closed,81,3.7,2,Toronto
Control,47,58,5-Extremely,Small (5-99),Business taxes,Closed,134,4,3,Hamilton
Control,45,44,2-Slightly,Small (5-99),Payroll,Open,6,2.7,2,Toronto
Control,40,50,2-Slightly,Small (5-99),Insurance,Closed,443,3.2,1,Toronto
Control,40,40,3-Moderately,Micro (1-4),Insurance,Closed,31,3.6,2,Toronto
Control,33,50,5-Extremely,Micro (1-4),Rent,Closed,177,3.8,2,Toronto
Control,34,49,5-Extremely,Micro (1-4),Insurance,Closed,476,3.6,2,Toronto
Control,42,52,2-Slightly,Small (5-99),Rent,Closed,139,3.7,2,Ottawa
Control,26,44,3-Moderately,Small (5-99),Business taxes,Closed,251,3.2,2,Toronto
Control,39,43,5-Extremely,Small (5-99),Business taxes,Closed,365,3.5,1,Ottawa
Control,38,33,5-Extremely,Small (5-99),Business taxes,Closed,388,3.8,1,London
Control,29,40,5-Extremely,Small (5-99),Business taxes,Closed,329,3.2,2,Toronto
Control,43,53,5-Extremely,Small (5-99),Payroll,Closed,125,2.8,2,Toronto
Control,45,43,3-Moderately,Micro (1-4),Business taxes,Closed,218,3.1,2,Toronto
Control,42,44,2-Slightly,Micro (1-4),Insurance,Closed,315,3.1,3,Toronto
Control,40,36,5-Extremely,Small (5-99),Insurance,Closed,497,4.2,3,Ottawa
Control,43,49,3-Moderately,Micro (1-4),Business taxes,Closed,411,3.5,2,Hamilton
Control,42,38,4-Very,Small (5-99),Business taxes,Closed,103,4.2,2,Ottawa
Control,42,44,3-Moderately,Micro (1-4),Business taxes,Closed,74,3.2,2,Toronto
Control,35,44,2-Slightly,Small (5-99),Payroll,Closed,397,3,2,Ottawa
Control,30,53,4-Very,Small (5-99),Paying vendors,Closed,86,3.8,1,Toronto
Control,37,38,3-Moderately,Micro (1-4),Paying vendors,Closed,119,3.6,2,Toronto
Control,44,42,4-Very,Small (5-99),Business taxes,Closed,9,3.3,3,London
Control,48,49,3-Moderately,Small (5-99),Business taxes,Open,266,3.3,1,London
Control,47,41,5-Extremely,Small (5-99),Business taxes,Closed,233,3.4,2,Ottawa
Control,42,37,5-Extremely,Small (5-99),Payroll,Closed,231,3,2,Ottawa
Control,50,35,2-Slightly,Small (5-99),Payroll,Closed,240,3.1,2,Ottawa
Control,42,45,5-Extremely,Small (5-99),Business taxes,Closed,359,3.4,2,Toronto
Control,33,53,5-Extremely,Small (5-99),Rent,Closed,292,4.1,2,Ottawa
Control,39,45,4-Very,Micro (1-4),Business taxes,Closed,241,3.1,2,Toronto
Control,38,46,5-Extremely,Small (5-99),Payroll,Closed,76,3.5,2,Ottawa
Control,39,41,2-Slightly,Micro (1-4),Rent,Closed,40,4.3,2,Toronto
Control,44,44,3-Moderately,Small (5-99),Payroll,Closed,221,3,2,Toronto
Control,48,45,5-Extremely,Small (5-99),Rent,Closed,81,3,3,Hamilton
Control,22,48,5-Extremely,Micro (1-4),Rent,Closed,309,4.4,0,Hamilton
Control,33,50,5-Extremely,Small (5-99),Business taxes,Closed,467,2.8,2,Thunder Bay
Control,41,48,4-Very,Small (5-99),Rent,Closed,39,3.4,2,Toronto
Control,34,48,3-Moderately,Small (5-99),Rent,Closed,103,3.7,2,Toronto
Control,43,50,3-Moderately,Small (5-99),Paying vendors,Closed,146,3.1,2,Toronto
Control,30,46,3-Moderately,Small (5-99),Paying vendors,Closed,206,3.5,2,Hamilton
Control,33,40,5-Extremely,Small (5-99),Business taxes,New,144,2.8,3,Ottawa
Control,25,49,4-Very,Small (5-99),Rent,Closed,279,3.4,3,Toronto
Control,34,48,5-Extremely,Micro (1-4),Payroll,Closed,60,3.6,3,Toronto
Control,40,37,5-Extremely,Micro (1-4),Rent,Closed,123,2.7,2,Toronto
Control,37,46,5-Extremely,Micro (1-4),Rent,Closed,90,3.7,2,Toronto
Control,41,51,4-Very,Small (5-99),Business taxes,Closed,444,3.1,2,Toronto
Control,55,51,5-Extremely,Small (5-99),Payroll,Closed,332,4.2,1,Toronto
Control,35,48,1-Not at all,Small (5-99),Payroll,Closed,429,2.9,2,Ottawa
Control,39,47,4-Very,Small (5-99),Rent,Closed,183,2.8,2,Toronto
Control,34,46,3-Moderately,Micro (1-4),Paying vendors,Closed,2,2.8,2,Hamilton
Control,28,33,4-Very,Small (5-99),Rent,Closed,407,3.7,2,Hamilton
Control,36,43,4-Very,Small (5-99),Insurance,Closed,87,3.8,2,London
Control,47,48,3-Moderately,Small (5-99),Business taxes,Closed,405,3.2,1,Toronto
Control,49,43,3-Moderately,Small (5-99),Rent,Closed,357,3.8,2,Toronto
Control,27,45,5-Extremely,Small (5-99),Paying vendors,Open,348,4.4,3,Ottawa
Control,43,52,2-Slightly,Small (5-99),Rent,Closed,2,3,2,Toronto
Control,40,46,3-Moderately,Small (5-99),Insurance,Closed,401,3.8,2,London
Control,32,42,4-Very,Small (5-99),Insurance,Closed,247,2.8,1,Toronto
Control,38,46,4-Very,Small (5-99),Rent,Closed,352,4.1,2,Ottawa
Control,43,52,4-Very,Small (5-99),Rent,Closed,479,3.9,1,London
Control,28,42,2-Slightly,Medium (100-499),Insurance,Closed,482,4.2,2,Toronto
Control,45,49,5-Extremely,Small (5-99),Business taxes,Closed,324,3.9,1,London
Control,41,45,2-Slightly,Micro (1-4),Rent,Closed,29,3,3,Ottawa
Control,39,44,4-Very,Micro (1-4),Insurance,Closed,18,2.5,2,Toronto
Control,29,50,5-Extremely,Small (5-99),Rent,Closed,326,3.9,2,Ottawa
Control,42,46,5-Extremely,Micro (1-4),Insurance,Closed,87,3.6,2,Toronto
Control,32,44,5-Extremely,Small (5-99),Business taxes,Closed,398,3,2,Toronto
Control,40,55,3-Moderately,Micro (1-4),Rent,Closed,472,3,2,Toronto
Control,31,45,3-Moderately,Micro (1-4),Insurance,Closed,142,3.4,1,Toronto
Control,46,48,3-Moderately,Small (5-99),Paying vendors,Closed,335,3.8,3,Ottawa
Control,39,39,4-Very,Micro (1-4),Rent,Closed,385,3.8,3,Hamilton
Control,43,44,4-Very,Small (5-99),Paying vendors,Closed,268,3.3,2,Toronto
Control,28,37,3-Moderately,Small (5-99),Paying vendors,Closed,484,3.1,2,Ottawa
Control,35,40,5-Extremely,Small (5-99),Insurance,Closed,45,2.8,3,Toronto
Control,25,51,5-Extremely,Micro (1-4),Insurance,Closed,219,3.8,2,Toronto
Control,24,45,5-Extremely,Micro (1-4),Rent,Closed,229,3.1,2,Toronto
Control,46,41,3-Moderately,Micro (1-4),Rent,Closed,237,3.6,2,Toronto
Control,39,49,2-Slightly,Small (5-99),Business taxes,Closed,73,3.2,1,Toronto
Control,24,43,4-Very,Micro (1-4),Paying vendors,Closed,315,4.2,1,Toronto
Control,42,52,4-Very,Small (5-99),Payroll,Closed,163,3.9,1,Toronto
Control,38,40,5-Extremely,Small (5-99),Business taxes,Closed,245,2.8,2,Ottawa
Control,38,44,3-Moderately,Small (5-99),Payroll,Closed,268,3.2,2,Toronto
Control,50,44,4-Very,Small (5-99),Rent,Closed,273,3.2,2,Toronto
Control,34,39,5-Extremely,Small (5-99),Payroll,Closed,166,3.4,2,Toronto
Control,38,42,5-Extremely,Small (5-99),Insurance,Closed,229,3,3,Toronto
Control,40,37,5-Extremely,Small (5-99),Rent,Closed,101,3.8,2,Toronto
Control,31,44,1-Not at all,Small (5-99),Business taxes,Closed,444,3.4,2,Toronto
Control,43,47,4-Very,Micro (1-4),Paying vendors,Closed,394,3.5,1,London
Control,28,49,5-Extremely,Micro (1-4),Payroll,Closed,267,3.1,3,Ottawa
Control,50,42,5-Extremely,Small (5-99),Insurance,Closed,441,3.1,3,Toronto
Control,24,49,5-Extremely,Small (5-99),Rent,Closed,271,3.1,2,Toronto
Control,34,40,5-Extremely,Small (5-99),Insurance,Closed,308,3.8,1,Toronto
Control,43,52,2-Slightly,Small (5-99),Rent,Closed,306,4.5,2,Ottawa
Control,49,45,4-Very,Micro (1-4),Rent,Closed,277,4,1,Ottawa
Control,28,38,5-Extremely,Micro (1-4),Business taxes,Closed,333,3.3,2,Toronto
Control,41,55,4-Very,Small (5-99),Payroll,Closed,465,3.8,2,Hamilton
Control,45,51,3-Moderately,Small (5-99),Rent,Closed,323,3.2,2,Thunder Bay
Control,34,48,5-Extremely,Micro (1-4),Business taxes,Closed,453,2.8,2,Toronto
Control,35,45,5-Extremely,Small (5-99),Business taxes,Closed,213,4.1,2,London
Control,37,43,2-Slightly,Small (5-99),Insurance,Open,326,3.2,3,London
Control,51,36,5-Extremely,Small (5-99),Payroll,Closed,422,3.6,2,Ottawa
Control,27,48,4-Very,Micro (1-4),Paying vendors,Closed,343,3.8,2,Toronto
Control,32,42,4-Very,Medium (100-499),Paying vendors,Closed,275,3.7,2,Ottawa
Control,32,45,1-Not at all,Small (5-99),Paying vendors,Closed,140,4.1,3,Toronto
Control,52,46,3-Moderately,Small (5-99),Paying vendors,Closed,195,4.1,2,Toronto
Control,44,41,5-Extremely,Small (5-99),Payroll,Closed,44,3.9,2,London
Control,34,33,5-Extremely,Small (5-99),Insurance,Closed,87,3,3,Ottawa
Control,36,43,4-Very,Small (5-99),Business taxes,Closed,471,4.2,2,London
Control,33,41,5-Extremely,Medium (100-499),Payroll,Closed,428,3.2,3,Ottawa
Control,30,48,2-Slightly,Micro (1-4),Paying vendors,Closed,109,2.9,2,London
Control,33,47,4-Very,Micro (1-4),Rent,Closed,382,4.2,2,Hamilton
Control,35,50,4-Very,Small (5-99),Insurance,Closed,44,4.2,2,Toronto
Control,40,48,4-Very,Small (5-99),Payroll,Closed,373,3.3,2,Toronto
Control,34,43,5-Extremely,Small (5-99),Rent,Closed,184,4.2,2,Toronto
Control,42,42,5-Extremely,Small (5-99),Paying vendors,Closed,69,3.1,2,Hamilton
Control,32,40,5-Extremely,Small (5-99),Business taxes,Closed,282,3.3,2,Toronto
Control,43,50,4-Very,Small (5-99),Paying vendors,Closed,149,4.7,4,London
Control,43,38,4-Very,Small (5-99),Rent,Closed,119,3.3,2,Hamilton
Control,36,42,4-Very,Micro (1-4),Insurance,Closed,305,3.6,3,Thunder Bay
Control,30,41,2-Slightly,Small (5-99),Payroll,Closed,87,3,2,Ottawa
Control,46,47,5-Extremely,Small (5-99),Business taxes,Closed,395,4.2,2,Ottawa
Control,46,45,4-Very,Small (5-99),Business taxes,Closed,196,3.5,2,Toronto
Control,39,47,1-Not at all,Small (5-99),Payroll,Closed,265,2.6,1,Toronto
Control,41,44,5-Extremely,Small (5-99),Paying vendors,Closed,245,2.2,2,Toronto
Control,46,48,2-Slightly,Small (5-99),Payroll,Closed,141,3.3,2,Toronto
Control,37,49,5-Extremely,Small (5-99),Business taxes,Closed,230,3.3,2,London
Control,53,56,5-Extremely,Small (5-99),Business taxes,Closed,315,3.3,2,Toronto
Control,36,40,2-Slightly,Small (5-99),Rent,Closed,223,3.8,3,Toronto
Control,34,41,4-Very,Small (5-99),Business taxes,Closed,152,3.3,2,Toronto
Control,44,39,3-Moderately,Micro (1-4),Paying vendors,Closed,458,4,1,Toronto
Control,35,43,5-Extremely,Small (5-99),Payroll,Closed,15,3.3,2,Toronto
Control,30,46,2-Slightly,Micro (1-4),Paying vendors,Closed,82,4.7,1,Hamilton
Control,41,45,4-Very,Small (5-99),Payroll,Closed,176,3.6,2,Hamilton
Control,46,48,3-Moderately,Micro (1-4),Payroll,Closed,479,3.5,1,London
Control,38,42,5-Extremely,Small (5-99),Business taxes,Closed,451,3,2,Ottawa
Control,45,49,2-Slightly,Small (5-99),Paying vendors,Closed,72,2.8,2,Hamilton
Control,34,40,4-Very,Small (5-99),Paying vendors,Closed,168,3.6,1,Ottawa
Control,31,42,5-Extremely,Medium (100-499),Insurance,Closed,335,2.8,2,Hamilton
Control,40,46,5-Extremely,Small (5-99),Rent,Closed,383,3.8,2,Toronto
Control,27,36,4-Very,Small (5-99),Insurance,Closed,394,2.2,1,Toronto
Control,43,43,4-Very,Micro (1-4),Rent,Closed,132,2.8,2,Toronto
Control,28,46,2-Slightly,Micro (1-4),Rent,Closed,395,3.4,1,Toronto
Control,48,43,3-Moderately,Micro (1-4),Paying vendors,Closed,391,3.3,2,Hamilton
Control,46,41,5-Extremely,Small (5-99),Insurance,Closed,438,3,1,Ottawa
Control,39,40,5-Extremely,Small (5-99),Rent,Closed,153,3.5,2,Toronto
Control,37,44,5-Extremely,Medium (100-499),Payroll,Closed,157,3.1,2,Toronto
Control,47,39,3-Moderately,Micro (1-4),Business taxes,Closed,443,3.3,2,Toronto
Control,32,54,4-Very,Small (5-99),Business taxes,Closed,112,3.6,2,Toronto
Control,38,47,4-Very,Small (5-99),Paying vendors,Closed,383,3.4,3,Toronto
Control,43,41,5-Extremely,Small (5-99),Payroll,Closed,320,4.1,1,Toronto
Control,39,42,5-Extremely,Small (5-99),Paying vendors,Closed,212,2.9,2,Toronto
Control,36,47,4-Very,Small (5-99),Payroll,Closed,378,2.9,1,Toronto
Control,39,42,3-Moderately,Micro (1-4),Payroll,Closed,329,4,1,Toronto
Control,27,49,4-Very,Small (5-99),Insurance,Closed,468,3.5,2,Toronto
Control,31,46,5-Extremely,Small (5-99),Business taxes,Closed,343,3.6,3,Toronto
Control,37,45,2-Slightly,Small (5-99),Rent,Closed,149,3.6,2,Toronto
Control,32,39,3-Moderately,Small (5-99),Payroll,Closed,305,3.3,2,Toronto
Control,47,44,4-Very,Small (5-99),Insurance,Closed,390,4.3,3,Ottawa
Control,41,48,3-Moderately,Small (5-99),Business taxes,Closed,337,3.1,3,Ottawa
Control,35,51,4-Very,Small (5-99),Business taxes,Closed,27,3.1,2,London
Control,47,49,5-Extremely,Small (5-99),Rent,Closed,462,3.2,2,Toronto
Control,45,41,4-Very,Small (5-99),Business taxes,Closed,222,3.1,2,Ottawa
Control,36,39,4-Very,Medium (100-499),Business taxes,Closed,284,3.1,1,Toronto
Control,52,42,3-Moderately,Small (5-99),Business taxes,Closed,106,3.6,2,Toronto
Control,33,45,3-Moderately,Small (5-99),Insurance,Closed,161,3.7,2,Toronto
Control,45,41,5-Extremely,Small (5-99),Business taxes,Closed,449,4.1,2,Ottawa
Control,27,44,4-Very,Small (5-99),Insurance,Closed,187,2.4,2,Ottawa
Control,43,36,1-Not at all,Small (5-99),Payroll,Closed,314,3.9,3,Hamilton
Control,39,47,5-Extremely,Micro (1-4),Paying vendors,Closed,8,4.1,2,Ottawa
Control,36,40,4-Very,Small (5-99),Rent,Closed,399,3.7,2,Toronto
Control,27,41,5-Extremely,Small (5-99),Paying vendors,Closed,70,3,2,London
Control,34,47,5-Extremely,Micro (1-4),Paying vendors,Closed,78,2.6,2,Toronto
Control,26,39,4-Very,Micro (1-4),Paying vendors,Closed,277,3.2,2,Toronto
Control,43,43,5-Extremely,Micro (1-4),Business taxes,Closed,498,4.1,3,Toronto
Control,30,46,4-Very,Small (5-99),Rent,Closed,434,3.5,0,Toronto
Control,34,51,4-Very,Micro (1-4),Paying vendors,Closed,347,3.8,2,Toronto
Control,44,48,3-Moderately,Small (5-99),Payroll,Closed,111,4,2,Ottawa
Control,21,44,3-Moderately,Micro (1-4),Payroll,Closed,150,5,3,Toronto
Control,31,41,5-Extremely,Micro (1-4),Rent,Closed,495,3.8,2,Toronto
Control,40,46,4-Very,Small (5-99),Rent,Closed,4,4,2,Toronto
Control,41,35,5-Extremely,Small (5-99),Insurance,Closed,280,2.7,2,Ottawa
Control,41,52,4-Very,Small (5-99),Insurance,Closed,349,4.1,2,Ottawa
Control,33,43,4-Very,Small (5-99),Rent,Closed,484,3.7,2,Ottawa
Control,41,48,5-Extremely,Micro (1-4),Paying vendors,Closed,113,4.1,2,Toronto
Control,37,38,5-Extremely,Small (5-99),Payroll,Closed,482,3.4,2,London
Control,43,46,5-Extremely,Small (5-99),Payroll,Closed,463,3.8,1,Toronto
Control,36,49,4-Very,Small (5-99),Paying vendors,Closed,380,2.9,2,Toronto
Control,37,44,4-Very,Small (5-99),Paying vendors,Closed,3,4.1,3,Hamilton
Control,44,50,5-Extremely,Small (5-99),Insurance,Closed,48,2.9,3,London
Control,41,47,5-Extremely,Small (5-99),Business taxes,Closed,215,1.7,1,Toronto
Control,45,46,2-Slightly,Micro (1-4),Payroll,Closed,337,3.1,2,Toronto
Control,35,34,3-Moderately,Small (5-99),Rent,Closed,228,3.4,2,Ottawa
Control,36,47,1-Not at all,Small (5-99),Business taxes,Closed,211,3.9,2,Toronto
Control,44,37,5-Extremely,Small (5-99),Insurance,Closed,240,3.3,2,Toronto
Control,32,45,5-Extremely,Small (5-99),Insurance,Closed,198,3.5,2,Toronto
Control,33,39,5-Extremely,Micro (1-4),Insurance,Closed,44,3.1,2,Ottawa
Control,43,41,5-Extremely,Micro (1-4),Paying vendors,Closed,30,3,2,Toronto
Control,33,44,4-Very,Small (5-99),Payroll,Closed,208,3.6,2,London
Control,46,46,4-Very,Micro (1-4),Rent,Closed,478,2.8,2,Toronto
Control,42,45,4-Very,Small (5-99),Insurance,Closed,232,3.2,2,Toronto
Control,32,50,4-Very,Small (5-99),Rent,Closed,152,3.5,1,Toronto
Control,47,47,4-Very,Small (5-99),Rent,Closed,120,4.3,2,Ottawa
Control,31,46,5-Extremely,Small (5-99),Payroll,Closed,119,3.5,3,Toronto
Control,43,47,4-Very,Small (5-99),Payroll,Closed,370,2.6,2,Toronto
Control,41,39,3-Moderately,Small (5-99),Payroll,Closed,50,2.8,1,Toronto
Control,33,51,5-Extremely,Micro (1-4),Payroll,Closed,494,3.3,1,Thunder Bay
Control,33,48,3-Moderately,Small (5-99),Rent,Closed,199,3.6,1,Toronto
Control,32,42,2-Slightly,Small (5-99),Payroll,Closed,404,3.1,2,Hamilton
Control,38,47,5-Extremely,Small (5-99),Payroll,Closed,65,3.1,2,Ottawa
Control,42,58,2-Slightly,Small (5-99),Insurance,Closed,342,4.2,2,Toronto
Control,32,48,3-Moderately,Small (5-99),Rent,Open,315,3.6,2,Hamilton
Control,26,53,4-Very,Small (5-99),Business taxes,Closed,1,2.2,3,Ottawa
Control,35,50,5-Extremely,Small (5-99),Insurance,Closed,424,4.6,2,Hamilton
Control,41,37,5-Extremely,Small (5-99),Rent,Closed,62,3.5,2,Toronto
Control,33,56,2-Slightly,Small (5-99),Paying vendors,Closed,216,3.2,2,Toronto
Control,34,40,4-Very,Micro (1-4),Rent,Open,231,3.7,3,Toronto
Control,49,47,4-Very,Small (5-99),Payroll,Closed,62,4.1,2,Toronto
Control,37,48,3-Moderately,Small (5-99),Rent,Closed,321,2.8,3,Toronto
Control,48,48,4-Very,Small (5-99),Rent,Closed,217,4.1,2,Thunder Bay
Control,28,39,1-Not at all,Small (5-99),Business taxes,Closed,191,3.9,2,Ottawa
Control,51,48,4-Very,Small (5-99),Rent,Closed,107,3,2,Toronto
Control,46,52,4-Very,Small (5-99),Insurance,Closed,233,4.2,2,Ottawa
Control,40,43,5-Extremely,Small (5-99),Rent,Closed,276,3.4,2,Ottawa
Control,35,43,3-Moderately,Small (5-99),Insurance,Closed,196,3.9,1,Thunder Bay
Control,35,38,2-Slightly,Micro (1-4),Business taxes,Closed,207,3.2,2,Toronto
Control,28,42,5-Extremely,Micro (1-4),Payroll,Closed,394,3.2,1,London
Control,45,51,3-Moderately,Micro (1-4),Paying vendors,Closed,318,2.7,3,Ottawa
Control,36,42,4-Very,Small (5-99),Business taxes,Closed,278,3.6,3,Ottawa
Control,50,40,3-Moderately,Small (5-99),Payroll,Closed,24,3.2,3,Toronto
Control,43,44,5-Extremely,Small (5-99),Payroll,Closed,356,3.4,2,Toronto
Control,39,42,5-Extremely,Small (5-99),Business taxes,Closed,322,3.1,2,Thunder Bay
Control,26,43,4-Very,Small (5-99),Insurance,New,15,3.8,3,Ottawa
Control,28,44,4-Very,Medium (100-499),Insurance,Closed,49,3.8,3,Toronto
Control,47,37,4-Very,Small (5-99),Paying vendors,Closed,467,3.3,2,London
Control,42,50,5-Extremely,Small (5-99),Rent,Closed,251,3.7,2,Toronto
Control,37,42,3-Moderately,Micro (1-4),Rent,Closed,351,3,1,Toronto
Control,39,50,4-Very,Small (5-99),Rent,Closed,79,2.9,2,London
Control,39,43,5-Extremely,Micro (1-4),Rent,Closed,147,4.2,2,Ottawa
Control,31,37,4-Very,Small (5-99),Insurance,Closed,406,3,2,Toronto
Control,37,42,5-Extremely,Micro (1-4),Paying vendors,Closed,405,3.3,3,Toronto
Control,40,47,4-Very,Small (5-99),Business taxes,Open,66,4,2,Hamilton
Control,56,47,4-Very,Small (5-99),Rent,Closed,178,3.7,3,Ottawa
Control,44,41,4-Very,Small (5-99),Rent,New,237,3.7,3,Toronto
Control,46,47,2-Slightly,Small (5-99),Payroll,Closed,167,2.9,2,Toronto
Control,34,47,3-Moderately,Small (5-99),Rent,Closed,10,3.1,2,Hamilton
Control,27,49,5-Extremely,Small (5-99),Rent,Closed,342,3.4,3,Ottawa
Control,38,42,2-Slightly,Small (5-99),Business taxes,Closed,323,3.4,2,Ottawa
Control,40,48,4-Very,Small (5-99),Business taxes,Closed,88,3.2,1,Toronto
Control,44,37,3-Moderately,Small (5-99),Payroll,Closed,408,3.4,2,London
Control,43,41,4-Very,Small (5-99),Payroll,Closed,58,3.9,2,Toronto
Control,42,41,5-Extremely,Small (5-99),Paying vendors,Closed,340,2.3,3,Toronto
Control,32,55,3-Moderately,Micro (1-4),Insurance,Closed,457,3.4,2,Toronto
Control,38,53,5-Extremely,Micro (1-4),Business taxes,Closed,380,3,2,Ottawa
Control,34,51,4-Very,Small (5-99),Rent,Closed,8,3.1,3,Toronto
Control,47,43,4-Very,Small (5-99),Business taxes,Closed,305,3.2,2,Ottawa
Control,35,53,4-Very,Micro (1-4),Rent,Closed,283,3.6,2,Toronto
Control,29,57,2-Slightly,Small (5-99),Business taxes,Closed,208,4.2,2,Hamilton
Control,38,43,3-Moderately,Micro (1-4),Paying vendors,Closed,368,2.7,2,Toronto
Control,35,49,5-Extremely,Small (5-99),Business taxes,Closed,38,3.2,3,Toronto
Control,39,37,5-Extremely,Medium (100-499),Payroll,Closed,489,3.7,2,Toronto
Control,29,40,5-Extremely,Small (5-99),Paying vendors,Closed,89,3.5,2,London
Control,36,44,1-Not at all,Micro (1-4),Insurance,Closed,28,3.5,3,Thunder Bay
Control,40,51,2-Slightly,Small (5-99),Insurance,Closed,228,3.3,2,Ottawa
Control,42,47,5-Extremely,Micro (1-4),Business taxes,Closed,363,4.3,3,Toronto
Control,33,48,4-Very,Small (5-99),Rent,Closed,199,3.1,2,Toronto
Control,28,41,4-Very,Micro (1-4),Paying vendors,Closed,299,3.2,2,Toronto
Control,33,62,5-Extremely,Micro (1-4),Insurance,Closed,345,3.1,2,Hamilton
Control,35,41,3-Moderately,Small (5-99),Paying vendors,Closed,300,3.8,2,Toronto
Control,38,52,3-Moderately,Small (5-99),Paying vendors,Closed,480,4,1,Toronto
Control,37,40,3-Moderately,Small (5-99),Insurance,Closed,194,4.2,1,Toronto
Control,29,46,3-Moderately,Small (5-99),Rent,Closed,36,2.7,3,Toronto
Control,44,44,4-Very,Small (5-99),Insurance,Closed,448,3,1,Toronto
Control,45,43,3-Moderately,Small (5-99),Insurance,Closed,190,4.4,3,Hamilton
Control,39,47,4-Very,Small (5-99),Rent,Closed,40,3.7,3,Toronto
Control,33,45,4-Very,Small (5-99),Rent,Closed,400,3.3,3,Ottawa
Control,39,56,5-Extremely,Micro (1-4),Rent,Closed,177,4.1,2,Ottawa
Control,47,42,1-Not at all,Small (5-99),Insurance,Closed,234,4,2,Toronto
Control,33,54,5-Extremely,Micro (1-4),Rent,Closed,483,4.2,2,Ottawa
Control,36,48,4-Very,Small (5-99),Payroll,Closed,70,3.4,2,Ottawa
Control,30,47,4-Very,Small (5-99),Paying vendors,Closed,85,3.8,2,Ottawa
Control,23,47,4-Very,Small (5-99),Payroll,Closed,231,3.9,1,Hamilton
Control,40,43,5-Extremely,Small (5-99),Business taxes,Closed,394,3.9,2,Toronto
Control,39,41,1-Not at all,Small (5-99),Business taxes,Closed,480,3.8,3,Toronto
Control,37,46,4-Very,Small (5-99),Payroll,Closed,379,3.4,2,Ottawa
Control,38,49,4-Very,Small (5-99),Rent,Closed,406,3.9,2,Toronto
Control,32,50,1-Not at all,Small (5-99),Business taxes,Closed,324,3.4,3,Ottawa
Control,51,44,4-Very,Small (5-99),Paying vendors,Closed,436,3.9,1,Toronto
Control,37,46,5-Extremely,Small (5-99),Business taxes,Closed,352,3,2,Ottawa
Control,40,48,5-Extremely,Small (5-99),Rent,Closed,159,3.2,1,Toronto
Control,36,42,4-Very,Small (5-99),Insurance,Closed,38,2.6,2,Toronto
Control,33,46,4-Very,Micro (1-4),Business taxes,Closed,468,3.3,2,Toronto
Control,45,43,3-Moderately,Micro (1-4),Business taxes,Closed,455,4.2,2,Toronto
Control,40,42,4-Very,Small (5-99),Rent,Closed,486,3.6,2,Hamilton
Control,34,46,2-Slightly,Small (5-99),Business taxes,Closed,90,4.1,2,Toronto
Control,42,43,3-Moderately,Small (5-99),Rent,Closed,454,4.2,2,Toronto
Control,27,50,4-Very,Small (5-99),Payroll,Closed,283,3.9,2,Ottawa
